id,city,country,pincode
ADD-168,Puerto Boyacá,MY,458434
ADD-169,Lambangan Kulon,SG,538666
ADD-170,Bergen,SG,175273
ADD-171,Kulaman,MY,573529
ADD-172,Oemollo,US,579327
ADD-173,Maksatikha,UK,133688
ADD-174,Hörby,US,615555
ADD-175,Paris 03,SG,623264
ADD-176,Patrol,MY,492088
ADD-177,Těšany,SG,493993
ADD-178,Panyindangan,TH,379588
ADD-179,Bern,UK,325290
ADD-180,Mont-Saint-Aignan,UK,448620
ADD-181,Xarardheere,SG,117531
ADD-182,Jazovo,TH,201495
ADD-183,Xiabaishi,UK,594486
ADD-184,Nacka,UK,204245
ADD-185,San Rafael,ID,513456
ADD-186,Manga,MY,320496
ADD-187,Duobaoshan,CN,484773
ADD-188,Yangsan,SG,158748
ADD-189,Fuxing,UK,122236
ADD-190,La Unión,UK,227699
ADD-191,Piraí,US,345140
ADD-192,Shengli,UK,257711
ADD-193,Cipicung,US,344760
ADD-194,Cerkvenjak,UK,392377
ADD-195,Rawson,CN,114083
ADD-196,Cacocum,ID,371783
ADD-197,Wuyang,TH,554622
ADD-198,Zarichne,CN,567688
ADD-199,Mantalongon,CN,449050
ADD-200,Hangu,UK,252802
ADD-201,Raniżów,SG,511092
ADD-202,Phoenix,MY,515244
ADD-203,Aix-en-Provence,UK,243162
ADD-204,Ar Rahad,CN,147646
ADD-205,Saint-Ouen,CN,607414
ADD-206,Cidikit Girang,SG,185980
ADD-207,Karlstad,PH,497602
ADD-208,Göteborg,TH,446540
ADD-209,Mqabba,MY,108881
ADD-210,Löddeköpinge,UK,472418
ADD-211,Saint Augustine,MY,383545
ADD-212,Homa Bay,US,494801
ADD-213,Kalilangan,TH,440487
ADD-214,Celso Ramos,ID,164228
ADD-215,Thị Trấn Mù Cang Chải,CN,484437
ADD-216,Maputo,UK,282057
ADD-217,Dukuhmencek Lor,ID,241264
ADD-218,Shangzhuang,US,131908
ADD-219,Quebo,TH,563810
ADD-220,Seydi,MY,423213
ADD-221,Szeged,SG,446228
ADD-222,Maochen,PH,361800
ADD-223,Horqueta,MY,562655
ADD-224,Luján de Cuyo,UK,635957
ADD-225,Naga,UK,202312
ADD-226,Esso,US,661296
ADD-227,Semanding,MY,294830
ADD-228,Sanfang,SG,380630
ADD-229,Rennebu,ID,281332
ADD-230,Nghĩa Hành,CN,156506
ADD-231,Andoany,PH,385577
ADD-232,Manning,ID,519415
ADD-233,Karak City,CN,426002
ADD-234,Pakusari,SG,482553
ADD-235,Gąbin,SG,205119
ADD-236,Phu Luang,CN,101875
ADD-237,Almodôvar,MY,607170
ADD-238,Novoukrayinka,MY,229565
ADD-239,Žulová,CN,439425
ADD-240,Yantan,TH,650705
ADD-241,Pīr jo Goth,US,606024
ADD-242,Picoto,PH,204894
ADD-243,Mendī,ID,548734
ADD-244,Rongai,UK,455428
ADD-245,Chatan,ID,240932
ADD-246,Bailu,TH,154647
ADD-247,Gakovo,US,108668
ADD-248,Luče,CN,362938
ADD-249,Esperanza,US,473762
ADD-250,Xubao,ID,493197
ADD-251,Fundong,ID,379272
ADD-252,Poctol,TH,512863
ADD-253,Cancela,UK,246205
ADD-254,Costa Sacate,PH,154628
ADD-255,Ciparasi,TH,221469
ADD-256,Unisław,SG,535518
ADD-257,Mislak,SG,336913
ADD-258,Ukhta,PH,146466
ADD-259,Zhangxi,PH,484125
ADD-260,Stockholm,UK,657225
ADD-261,A Yun Pa,ID,431608
ADD-262,Veiga,US,319137
ADD-263,Jingdang,UK,278431
ADD-264,Václavovice,MY,548407
ADD-265,Matelândia,ID,584966
ADD-266,Basa,CN,122065
ADD-267,Arraga,US,155772
ADD-268,Bakuriani,CN,622617
ADD-269,Korhogo,PH,263796
ADD-270,Mangero,TH,428923
ADD-271,Zimovniki,US,657663
ADD-272,Krugersdorp,UK,207277
ADD-273,Białogard,CN,633120
ADD-274,Örbyhus,CN,641789
ADD-275,Yaqian,CN,110467
ADD-276,Esfarāyen,CN,513988
ADD-277,Ponte Nova,UK,129762
ADD-278,Lipnica,TH,492694
ADD-279,Vihti,US,516830
ADD-280,Gedangan,SG,280880
ADD-281,Xiatang,ID,232346
ADD-282,Ilha Solteira,US,562110
ADD-283,Bomomani,CN,613586
ADD-284,Nampula,ID,604829
ADD-285,Dumandesa,SG,608527
ADD-286,Xianqiao,ID,168495
ADD-287,Tanlin,MY,134755
ADD-288,Jojoima,CN,118551
ADD-289,Gesik,PH,210893
ADD-290,Azun Atme,MY,341539
ADD-291,P’yŏngsŏng,ID,185241
ADD-292,Turki,UK,361933
ADD-293,Magtangol,MY,115457
ADD-294,Puerto Montt,UK,223073
ADD-295,Taguing,ID,388869
ADD-296,Myanaung,TH,233724
ADD-297,Valašská Bystřice,PH,444726
ADD-298,Bassila,TH,490447
ADD-299,Dijon,TH,475924
ADD-300,Gniechowice,US,661772
ADD-301,Biscucuy,ID,636902
ADD-302,Conde,ID,132865
ADD-303,Tongyangdao,UK,117594
ADD-304,Cogon,CN,204584
ADD-305,Qādirpur Rān,MY,630073
ADD-306,Curridabat,SG,210768
ADD-307,Guxi,MY,216893
ADD-308,San Sebastián de Yalí,ID,304594
ADD-309,Mabini,MY,367018
ADD-310,Tarragona,ID,491407
ADD-311,Rāmhormoz,ID,298429
ADD-312,Beiling,US,167064
ADD-313,Sapu Padidu,UK,134751
ADD-314,Matsubase,PH,485348
ADD-315,Santol,US,175960
ADD-316,Minneapolis,MY,578422
ADD-317,Roza,UK,267399
ADD-318,Skórcz,CN,370674
ADD-319,Tabālah,CN,462194
ADD-320,Buzhakan,UK,474263
ADD-321,Zheyuan,MY,641086
ADD-322,Bárrio,PH,270495
ADD-323,Agogo,SG,363006
ADD-324,Banjar Pasekan,US,352837
ADD-325,Naga,PH,576327
ADD-326,Cimara,MY,209144
ADD-327,Artashat,PH,382036
ADD-328,Gualmatán,SG,561779
ADD-329,Duoxiang,US,596598
ADD-330,Jesús Menéndez,ID,151666
ADD-331,Kaniv,CN,269088
ADD-332,Dzików Stary,SG,342156
ADD-333,Kedungbacin,ID,512320
ADD-334,Sertolovo,SG,549403
ADD-335,Del Valle,ID,630040
ADD-336,Qiancang,UK,352056
ADD-337,Armash,PH,361988
ADD-338,San Buenaventura,MY,286772
ADD-339,Södertälje,US,167618
ADD-340,Soroti,SG,560207
ADD-341,Kavadarci,SG,568007
ADD-342,Besah,PH,461675
ADD-343,Czarnocin,TH,396219
ADD-344,Thị Trấn Mường Khến,MY,355580
ADD-345,San Jose,MY,330657
ADD-346,Youhao,PH,397125
ADD-347,Minsk,ID,125331
ADD-348,Cirahab,CN,522599
ADD-349,Radziszów,SG,342041
ADD-350,Sevaster,SG,234150
ADD-351,Al Wardānīn,CN,161205
ADD-352,Lanxi,PH,267533
ADD-353,Morteros,MY,647485
ADD-354,Lokokrangan,MY,126506
ADD-355,Myadzyel,US,419726
ADD-356,Cibaregbeg,UK,208593
ADD-357,Athens,CN,523103
ADD-358,Kim Sơn,PH,175481
ADD-359,Qanliko’l,MY,123317
ADD-360,Gorgān,ID,576608
ADD-361,Nowa Sól,PH,265482
ADD-362,Kinéta,MY,420387
ADD-363,A’yi Take,MY,324431
ADD-364,Huayllabamba,PH,364714
ADD-365,Sangzhen,UK,530309
ADD-366,Omaha,UK,647086
ADD-367,Sanxiang,ID,487136
ADD-368,Sherwood Park,UK,374670
ADD-369,Novosel’ye,PH,320324
ADD-370,Mauhao,MY,581990
ADD-371,‘Anātā,ID,125647
ADD-372,Donglu,TH,197745
ADD-373,Sovetskaya Gavan’,MY,249823
ADD-374,Suzdal’,US,521794
ADD-375,Ngrowo,US,604180
ADD-376,Helsingborg,MY,606409
ADD-377,Uyugan,ID,216333
ADD-378,Saint-Cloud,PH,346746
ADD-379,Zamoskvorech’ye,US,458469
ADD-380,Cinco Saltos,UK,398237
ADD-381,Radocza,SG,480501
ADD-382,Áno Kalentíni,TH,314227
ADD-383,Xingdian,ID,228356
ADD-384,Atuntaqui,US,202560
ADD-385,Tsarychanka,PH,365945
ADD-386,Villaba,TH,534292
ADD-387,Hualgayoc,UK,553994
ADD-388,Quchanghī,MY,147828
ADD-389,Nanxing,MY,593540
ADD-390,Nantian,CN,214961
ADD-391,Taounate,PH,466540
ADD-392,Cishan,SG,524406
ADD-393,Mandera,CN,361967
ADD-394,Mauraro,US,123887
ADD-395,Amarillo,CN,572430
ADD-396,Beiping,ID,603532
ADD-397,Tsirang,ID,305771
ADD-398,Napoli,US,239098
ADD-399,Kijang,TH,121443
ADD-400,Tougan,PH,319374
ADD-401,Sydney,US,247465
ADD-402,Touzao,PH,292652
ADD-403,Třinec,PH,257483
ADD-404,Tuba,UK,656809
ADD-405,Xianan,MY,189959
ADD-406,Zamoskvorech’ye,TH,590051
ADD-407,Oeba,CN,588491
ADD-408,Gjilan,PH,204140
ADD-409,Káto Asítai,CN,493046
ADD-410,San Juan Nepomuceno,SG,322292
ADD-411,Dar Chabanne,CN,643401
ADD-412,Río Grande,CN,287916
ADD-413,Pampa Hermosa,SG,247214
ADD-414,Kremidivka,UK,360865
ADD-415,Kruševica,US,555203
ADD-416,Kozel’shchyna,SG,473595
ADD-417,Chã,MY,280667
ADD-418,Nizhniy Chir,US,358769
ADD-419,Valencia,ID,300623
ADD-420,Lanta Timur,SG,161326
ADD-421,Pasar Kidul,SG,304351
ADD-422,Taobei,TH,384959
ADD-423,Kalān Deh,ID,440244
ADD-424,Isoka,CN,428592
ADD-425,Langchi,CN,276381
ADD-426,Ebene,SG,330208
ADD-427,Thị Trấn Phù Yên,US,584009
ADD-428,Wucun,US,454980
ADD-429,Salt Lake City,SG,656446
ADD-430,Mbanza Congo,TH,432007
ADD-431,Villa Aglipay,US,152578
ADD-432,Tānsen,MY,624413
ADD-433,Zhenxing,UK,504994
ADD-434,Lixi,SG,184040
ADD-435,Qŭshkŭpir,SG,409944
ADD-436,Nyima,PH,213872
ADD-437,Itaguaí,SG,127432
ADD-438,Ouricuri,TH,129660
ADD-439,Didian,US,415947
ADD-440,Bābol,ID,165694
ADD-441,Aimorés,SG,244325
ADD-442,Tomari,ID,456713
ADD-443,Cikarang,UK,211911
ADD-444,Halong,SG,360508
ADD-445,Chennevières-sur-Marne,PH,380639
ADD-446,Boavista,ID,331012
ADD-447,Bicurga,US,328198
ADD-448,Guadalupe,ID,550066
ADD-449,Lutomiersk,SG,391535
ADD-450,Świętajno,ID,618064
ADD-451,Fatuhilik,SG,503010
ADD-452,Belén,SG,633699
ADD-453,Kambingan,UK,510501
ADD-454,Göteborg,UK,373100
ADD-455,Niquelândia,TH,301304
ADD-456,Sekartaji,PH,210506
ADD-457,Karamat,ID,389862
ADD-458,Tanjung Palas,US,217573
ADD-459,Meixian,PH,349080
ADD-460,Chadong,PH,378136
ADD-461,Jedlina-Zdrój,ID,554910
ADD-462,Xianyang,UK,553124
ADD-463,Villa del Rosario,US,515638
ADD-464,Tilmi,UK,430159
ADD-465,Baykit,PH,442576
ADD-466,Upi,CN,161947
ADD-467,Gombang,SG,439504
ADD-468,Goba,MY,553686
ADD-469,Sigou,TH,589291
ADD-470,Złoczew,US,485173
ADD-471,Cibeureum,TH,661047
ADD-472,Rio Grande,US,303808
ADD-473,Doāba,SG,197371
ADD-474,Lukou,US,593104
ADD-475,Comapa,CN,139141
ADD-476,Gennevilliers,CN,607945
ADD-477,Mayo,SG,248489
ADD-478,Thị Trấn Vạn Hà,MY,224017
ADD-479,Basa,SG,610975
ADD-480,Fendou,MY,196316
ADD-481,Storuman,US,603124
ADD-482,Orzu,PH,547579
ADD-483,Sakurai,MY,274061
ADD-484,Hamburg Bramfeld,ID,269786
ADD-485,Waipukang,US,347945
ADD-486,Leer,UK,238869
ADD-487,Lutoryż,CN,383858
ADD-488,El Paso,SG,289472
ADD-489,Milwaukee,US,415645
ADD-490,Takehara,UK,165432
ADD-491,Diaowei,PH,396536
ADD-492,Cimara,US,311721
ADD-493,Mirandopólis,CN,332217
ADD-494,Yangshan,ID,157279
ADD-495,Makato,SG,414017
ADD-496,Aix-en-Provence,US,559033
ADD-497,Liuji,CN,391397
ADD-498,Eqlīd,PH,422570
ADD-499,Azogues,ID,237113
ADD-500,Al Faḩāḩīl,PH,121445
